OID_,Join_Count,TARGET_FID,GlobalID,COR_STREET,COR_BEGIN_,COR_END_DE,ST_TYPE_ST,COR_LENGTH,COR_ST_TYP,COR_WIDTH,DIRECTION_,LANE_COUNT,LEAF_ID,yr_repave,surface,street_id,duke_poles,lite_poles,sidewalks,any_poles,treat_year,prev_treat,treat_25,potential,sqyd_est,UHI_Qtile,Shape_Length
7918,1,7917,69d4b950-516e-4769-8625-570c00577eb3,ABBOTSBURY,BRIDGEPORT DR,CDS,Ct,661.000000000000000,6.000000000000000,26.000000000000000,0.000000000000000,2.000000000000000,1A,2000.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,1909.555555555555429,3,0.001790762461292
7919,0,7918,5ab28df7-8b8b-424d-ace7-42a9a10c0db5,CHATMOSS,CONTINENTAL WY,E. TALBOT CT,Dr,915.000000000000000,8.000000000000000,27.000000000000000,0.000000000000000,2.000000000000000,1A,2016.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,2745.000000000000000,,0.003033263379652
7920,1,7919,e0b888c6-a404-46b2-a848-ea1627032f2c,WRENTREE,CDS,SNOWBERRY DR,Cr,771.000000000000000,5.000000000000000,22.000000000000000,0.000000000000000,2.000000000000000,1A,2001.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,1884.666666666666515,6,0.002544348415808
7921,2,7920,f301cc9a-93d5-4df1-b47c-07537b973352,ELKPARK,DELCO CT,MIDWAY PARK CT W.,Dr,171.000000000000000,8.000000000000000,26.000000000000000,0.000000000000000,2.000000000000000,1A,0.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,493.999999999999943,5,0.000528461075379
7922,1,7921,888d1287-3e8f-4637-814a-aa4f18d09c76,EVANDER,END PVMT #3713,EVANS MILL PL,Wy,418.000000000000000,22.000000000000000,26.000000000000000,0.000000000000000,2.000000000000000,1A,0.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,1207.555555555555657,1,0.001399817682012
7923,1,7922,3db7afaa-dba4-4fb6-a9f4-f8a426b3a91b,WREXHAM,SALEM WOODS DR,CDS,Ct,83.000000000000000,6.000000000000000,22.000000000000000,0.000000000000000,2.000000000000000,1A,0.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,202.888888888888886,2,0.000253167934734
7924,1,7923,1b92fd07-b93e-4952-8e01-be9693bf3a8a,ELKPARK,MIDWAY PARK CT W.,MIDWAY PARK CT E.,Dr,530.000000000000000,8.000000000000000,26.000000000000000,0.000000000000000,2.000000000000000,1A,0.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,1531.111111111110858,5,0.001716456250542
7925,1,7924,baaf91f5-1745-4752-b9c7-43b86f59ef84,EVANDER,EVANS MILL PL,CDS,Wy,308.000000000000000,22.000000000000000,22.000000000000000,0.000000000000000,2.000000000000000,1A,2015.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,752.888888888888914,1,0.001045142733782
7926,1,7925,ec709fb6-1a91-4c99-9201-af0f77b72972,WYCLIFF,LAKE BOONE TR,VILLAGE CT,Rd,965.000000000000000,15.000000000000000,54.000000000000000,0.000000000000000,4.000000000000000,1A,2001.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,5790.000000000000000,8,0.002891943665835
7927,1,7926,0230df0c-f567-4005-9405-0150b214b47c,MIDWAY PARK,CDS,ELK PARK DR,Ct,377.000000000000000,6.000000000000000,22.000000000000000,0.000000000000000,2.000000000000000,1A,0.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,921.555555555555543,5,0.001065974575833
7928,1,7927,3db61659-5fe0-4f47-b85b-0fdb4a080662,EVANS MILL,EVANDER WY,PHASE LINE #8401,Pl,150.000000000000000,12.000000000000000,26.000000000000000,0.000000000000000,2.000000000000000,1A,0.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,433.333333333333314,1,0.000438790746849
7929,1,7928,4a4daa15-3d3a-4b5f-af36-0023d2de8b27,WYCLIFF,VILLAGE CT,GLEN BURNIE DR,Rd,274.000000000000000,15.000000000000000,54.000000000000000,0.000000000000000,2.000000000000000,1A,2001.000000000000000,1.000000000000000,0.000000000000000, , , ,0.000000000000000, ,0.000000000000000,0.000000000000000,0.000000000000000,1644.000000000000000,8,0.000848396790334
