street_name,from,to,treatment,verified_sy,resurfaced_year,square_yards,street_id,street_name_merge,COR_BEGIN_,COR_END_DE,utility_poles,light_poles,sidewalks,notes
MISSION HILLS CT,MEADOW MIST CT,CDS,ARA-Ti,1100,2019,1100,52,MISSION HILLS CT,MEADOW MIST CT,CDS,No,Yes,No,
MORGAUSE DR,END PVMT,FALLS RIVER AV,ARA-Ti,3097,2019,3097,53,MORGAUSE DR,END PVMT,FALLS RIVER AV,No,Yes,Yes,
MURFIELD VILLAGE WY,EAGLE TRACE DR,CDS,ARA-Ti,2512,2022,2512,54,MUIRFIELD VILLAGE WY,EAGLE TRACE DR,CDS,No,Yes,No,
N BOUNDARY ST,N PERSON ST,WATAUGA ST,ARA-Ti,5570,2022,5570,55,BOUNDARY ST,N PERSON ST,WATAUGA ST,Yes,Yes,Yes,
NORTH HILLS DR,LEAD MINE RD,SHELLEY RD,ARA-Ti,36500,2019,36500,56,NORTH HILLS DR,LEAD MINE RD,SHELLEY RD,Yes,Yes,Yes,
NORTHFIELD DR,LAKEMONT DR,CDS,ARA-Ti,3800,2022,3800,57,NORTHFIELD DR,LAKEMONT DR,CDS,Yes,Yes,No,
OAKWOOD AV,N. TARBORO ST,HILL ST,ARA-Ti,5368,2022,5368,58,OAKWOOD AV,N. TARBORO ST,HILL ST,Yes,Yes,Yes,only the part by St. Augustine's University
ONEAL RD,PRIDE WY,LEESVILLE RD,ARA-Ti,5330,2019,5330,59,ONEAL RD,PRIDE WY,LEESVILLE RD,No,Yes,Yes,near a high school
PARRISH ST,BATTERY DR,E. MARTIN ST,ARA-Ti,1724,2022,1724,60,PARRISH ST,BATTERY DR,E. MARTIN ST,Yes,Yes,No,
PATBROOK LN,ROCKY STREAM LN,PHASE LINE #2724,ARA-Ti,758,2019,758,61,PATBROOK LN,ROCKY STREAM LN,PHASE LINE #2724,No,Yes,Yes,
POINTE VISTA CR,ARBOR GRANDE WY,CIRCLE,ARA-Ti,1279,2019,1279,62,POINTE VISTA CR,ARBOR GRANDE WY,CIRCLE,No,Yes,Yes,
PRADERA WY,ARBOR GRANDE WY,ARBOR GRANDE WY,ARA-Ti,484,2019,484,63,PRADERA WY,ARBOR GRANDE WY,ARBOR GRANDE WY,No,No,No,
